Dia,PrevD1,PrevD2,PrevD3,PrevD4
2022-02-18,2.071,6.141,0.901,0.000
2022-02-19,0.353,0.869,0.102,0.000
2022-02-20,3.239,0.020,0.001,0.058
2022-02-21,3.918,0.177,0.450,0.028
2022-02-22,0.796,0.490,0.268,0.000
2022-02-23,2.689,1.359,0.000,0.000
2022-02-24,2.170,0.016,0.000,0.001
2022-02-25,0.027,0.015,0.040,0.000
2022-02-26,0.179,0.214,0.203,0.000
2022-02-27,0.755,0.849,0.730,0.838
2022-02-28,0.099,0.464,0.235,0.008
2022-03-01,1.867,0.382,0.327,0.000
2022-03-02,0.159,0.146,0.782,0.000
2022-03-03,3.319,2.372,7.406,0.005
2022-03-04,1.279,3.239,4.585,0.049
2022-03-05,0.948,0.677,0.311,0.004
2022-03-06,3.655,2.865,1.021,0.105
2022-03-07,2.595,0.160,0.219,0.000
2022-03-08,0.029,0.263,1.508,1.020
2022-03-09,0.475,0.381,3.008,2.298
2022-03-10,0.223,5.614,23.699,3.984
2022-03-11,1.859,3.340,25.879,0.437
2022-03-12,12.952,19.988,23.329,8.906
2022-03-13,11.366,22.006,29.177,1.500
2022-03-14,5.625,3.051,3.782,0.229
2022-03-15,22.994,8.464,3.241,0.000
2022-03-16,10.088,1.159,1.402,0.063
2022-03-17,1.663,1.495,6.862,0.037
2022-03-18,0.942,6.930,11.688,0.059
2022-03-19,3.298,34.776,0.282,0.032
2022-03-20,20.608,0.071,0.042,0.001
2022-03-21,0.168,0.006,0.029,0.000
2022-03-22,0.048,0.148,0.078,0.000
2022-03-23,0.178,0.027,0.102,0.000
2022-03-24,0.177,0.503,6.042,2.316
2022-03-25,1.102,2.967,9.223,0.529
2022-03-26,3.710,8.046,2.490,0.530
2022-03-27,8.994,7.141,1.997,0.029
2022-03-28,4.360,2.877,0.532,0.000
2022-03-29,1.617,0.852,3.670,1.320
2022-03-30,0.284,1.377,0.611,0.027
2022-03-31,1.181,1.078,1.978,0.002
2022-04-01,0.696,0.684,1.604,0.003
2022-04-02,0.394,0.272,2.230,0.314
2022-04-03,0.844,5.157,3.683,0.014
2022-04-04,1.795,4.659,5.087,0.005
2022-04-05,1.408,1.157,0.954,0.009
2022-04-06,0.165,0.372,4.884,0.559
2022-04-07,0.345,5.231,8.542,0.061
2022-04-08,2.879,10.453,0.140,0.003
2022-04-09,7.657,0.945,0.120,0.000
2022-04-10,0.236,0.011,4.401,0.026
2022-04-11,0.081,1.922,2.733,1.805
2022-04-12,0.659,1.571,13.444,1.049
2022-04-13,2.003,5.851,0.248,0.009
2022-04-14,1.483,0.290,0.056,0.011
2022-04-15,0.142,0.002,0.015,0.009
2022-04-16,0.014,0.012,0.192,0.016
2022-04-17,0.003,0.383,4.991,0.047
2022-04-18,0.344,1.391,0.069,0.052
2022-04-19,0.559,0.144,0.028,0.030
2022-04-20,0.079,0.011,0.076,0.000
2022-04-21,0.071,0.047,0.010,0.000
2022-04-22,0.008,0.040,0.025,0.011
2022-04-23,0.000,0.937,3.527,0.012
2022-04-24,0.125,0.033,0.051,0.008
2022-04-25,0.025,0.040,0.001,0.000
2022-04-26,0.028,0.002,0.010,0.000
2022-04-27,0.001,0.000,0.912,0.075
2022-04-28,0.000,0.000,0.000,0.000
2022-04-29,0.000,0.000,0.000,0.000
2022-04-30,0.000,0.000,0.000,0.000
2022-05-01,0.093,0.150,0.075,0.010
2022-05-02,0.272,0.094,0.204,4.281
2022-05-03,0.233,6.370,0.134,0.072
2022-05-04,4.147,0.022,0.223,0.039
2022-05-05,0.024,0.121,0.062,0.024
2022-05-06,0.019,0.026,0.032,0.017
2022-05-07,0.040,0.218,0.061,0.018
2022-05-08,0.193,0.125,0.159,0.128
2022-05-09,0.243,0.074,1.015,0.279
2022-05-10,0.065,0.515,0.322,0.086
2022-05-11,0.619,0.673,0.022,0.057
2022-05-12,0.250,0.031,0.090,0.034
2022-05-13,0.065,0.018,16.470,0.101
2022-05-14,0.020,4.784,11.320,1.230
